timestamp,user_id,pixel_color,coordinate
2022-04-03 17:38:20.021 UTC,p0sXpmkcmg1KLiCdK5e4xKdudb1f8cjscGs35082sKpGBfQIw92nZ7yGvWbQ/ggB1+kkRBaYu1zy6n16yL/yjA==,#FF4500,"371,488"
2022-04-03 17:38:20.024 UTC,Ctar52ln5JEpXT+tVVc8BtQwm1tPjRwPZmPvuamzsZDlFDkeo3+ItUW89J1rXDDeho6A4zCob1MKmJrzYAjipg==,#51E9F4,"457,493"
2022-04-03 17:38:20.025 UTC,rNMF5wpFYT2RAItySLf9IcFZwOhczQhkRhmTD4gv0K78DpieXrVUw8T/MBAZjj2BIS8h5exPISQ4vlyzLzad5w==,#000000,"65,986"
2022-04-03 17:38:20.025 UTC,u0a7l8hHVvncqYmav27EARAE6ciLtpUTPXMI33lDrUmtj5Ei3ixlfRuG28KUvs7r5LpeiE/iOKPALVjkILhrYg==,#3690EA,"73,961"
2022-04-03 17:38:20.026 UTC,L8P+AXoFbbXPh2zBAkkXk96UrkKpB5hLq5gBMwvgSV0H4foa10rSyCwzWFrfvF2MUspFSJ9FkzNzY1//dL5u9A==,#FF4500,"1865,290"
2022-04-03 17:38:20.027 UTC,PNgTPhAA1zue68tZDNiqnNnKAsEyf4HSF826SBy5RHBebE+ocEHCh0wsOnAZtjdAWqfZyOR/Xb55zSiBSktBIw==,#FF4500,"210,513"
2022-04-03 17:38:20.028 UTC,H9YaxLRMacKoLOjRnZ//0gJxUZ7JJAHPPahCReGZfxS88tZGT4e8tRkti55woOshlbdXc09zTvOao4uAcB/01A==,#000000,"1334,451"
2022-04-03 17:38:20.04 UTC,2bQ05ZCKJMae5KYmnWzKnjc599ZtB8dpAjTbjpcy+ziVEYDZYjvyaMt0nyRZtdRTSdeHimUUwbPpqQuhmqh4wg==,#000000,"78,974"
2022-04-03 17:38:20.041 UTC,F7EqHq8UhK6nfd8Xy2v7WyCKWWm1W/aoP3ZizRxv1+b1eA6rco3g5KqIM61CggqkOIguXLMrjMDBVx7ZjLM/fA==,#000000,"73,954"
2022-04-03 17:38:20.049 UTC,sjv3CQAFHlOFlXWZZAUKQwo7lD3UNDxEAEJn6cKULGaFz0eUT0mePys1F8OXC5gD5rcx9hsduvcUgY4aBOaI3A==,#2450A4,"335,975"
2022-04-03 17:38:20.072 UTC,TG97AGS+soPhi6jhWbjyaKm87NK9BgP6qChvb8vZBnwJCl4m4tjxVfoHObdQkIA9ncrWXSzXX/P/nNN5M0QNKg==,#FFFFFF,"1277,332"
